id_movimiento,periodo,anio,mes,fuente_archivo,hoja_origen,fecha_carga,fecha_creacion,fecha_movimiento,tipo_movimiento_original,naturaleza_movimiento,categoria_movimiento,descripcion_movimiento,proveedor,documento_soporte,factura_no,cantidad,valor_unitario,valor_total,estado_registro,alerta_calidad,observacion_revision
INV-202511-000034,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-10 14:15:31.866,2025-11-26 14:08:56.336,Entrada - Compra,ENTRADA,COMPRA,,JEPRI DISTRIBUIDPRA DE ALIMENTOS EN LINEA SAS,,FELE 3709,0,0,69738.0,OK,,
INV-202511-000035,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-10 14:08:37.406,2025-11-26 14:04:21.386,Entrada - Compra,ENTRADA,COMPRA,,JEPRI DISTRIBUIDPRA DE ALIMENTOS EN LINEA SAS,,FELE 3710,0,0,194201.0,OK,,
INV-202511-000036,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 23:55:01.757,2025-11-25 23:51:58.500,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO179061,0,0,383000.0,OK,,
INV-202511-000037,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-16 21:15:29.894,2025-11-25 21:14:34.699,Entrada - Compra,ENTRADA,COMPRA,,INDUSTRIA NACIONAL DE GASEOSAS SA,,,0,0,25588.0,OK,,
INV-202511-000038,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-16 21:14:26.959,2025-11-25 21:11:33.473,Entrada - Compra,ENTRADA,COMPRA,,INDUSTRIA NACIONAL DE GASEOSAS SA,,,0,0,352400.0,OK,,
INV-202511-000039,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-15 21:05:48.886,2025-11-25 21:04:52.097,Entrada - Compra,ENTRADA,COMPRA,,GRUPO SANTIAGO EXPRESS SAS,,EB211751,0,0,321540.0,OK,,
INV-202511-000040,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-19 21:05:27.551,2025-11-25 21:04:18.136,Entrada - Compra,ENTRADA,COMPRA,,,,ALF2511,0,0,211600.0,POR VALIDAR,SOPORTE_INCOMPLETO,
INV-202511-000041,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:55:12.285,2025-11-25 15:53:25.895,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,CSFE62099,0,0,124668.0,OK,,
INV-202511-000042,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:52:07.737,2025-11-25 15:51:22.195,Entrada - Compra,ENTRADA,COMPRA,,GRUPO SANTIAGO EXPRESS SAS,,EB211745,0,0,247060.0,OK,,
INV-202511-000043,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:51:12.934,2025-11-25 15:48:58.270,Entrada - Compra,ENTRADA,COMPRA,,INDUSTRIA NACIONAL DE GASEOSAS SA,,FVCL2230936,0,0,324100.0,OK,,
